Município;Dose;Total Doses Aplicadas
ESTRELA DO NORTE;UNICA;48
ESTRELA D'OESTE;UNICA;218
ESTIVA GERBI;UNICA;334
ESPÍRITO SANTO DO TURVO;UNICA;110
ESPÍRITO SANTO DO PINHAL;UNICA;1030
ENGENHEIRO COELHO;UNICA;658
EMILIANÓPOLIS;UNICA;71
EMBU-GUAÇU;UNICA;1475
EMBU DAS ARTES;UNICA;7390
EMBAÚBA;UNICA;62
ELISIÁRIO;UNICA;105
ELIAS FAUSTO;UNICA;546
ELDORADO;UNICA;193
ECHAPORÃ;UNICA;139
DUMONT;UNICA;296
DUARTINA;UNICA;319
DRACENA;UNICA;923
DOURADO;UNICA;221
DOLCINÓPOLIS;UNICA;54
DOIS CÓRREGOS;UNICA;711
DOBRADA;UNICA;302
DIVINOLÂNDIA;UNICA;239
DIRCE REIS;UNICA;18
DIADEMA;UNICA;11091
DESCALVADO;UNICA;1010
CUNHA;UNICA;489
CUBATÃO;UNICA;3369
CRUZEIRO;UNICA;2083
CRUZÁLIA;UNICA;36
CRISTAIS PAULISTA;UNICA;215
CRAVINHOS;UNICA;1061
COTIA;UNICA;6337
COSMORAMA;UNICA;177
COSMÓPOLIS;UNICA;2109
CORUMBATAÍ;UNICA;91
CORONEL MACEDO;UNICA;108
COROADOS;UNICA;150
CORDEIRÓPOLIS;UNICA;686
CONCHAS;UNICA;399
CONCHAL;UNICA;742
COLÔMBIA;UNICA;165
COLINA;UNICA;510
CLEMENTINA;UNICA;267
CHAVANTES;UNICA;325
CHARQUEADA;UNICA;519
CESÁRIO LANGE;UNICA;629
CERQUILHO;UNICA;1360
CERQUEIRA CÉSAR;UNICA;598
CEDRAL;UNICA;239
CATIGUÁ;UNICA;190
CATANDUVA;UNICA;2920
CASTILHO;UNICA;607
CÁSSIA DOS COQUEIROS;UNICA;52
CASA BRANCA;UNICA;785
CARDOSO;UNICA;274
CARAPICUÍBA;UNICA;11095
CARAGUATATUBA;UNICA;3024
CAPIVARI;UNICA;1476
CAPELA DO ALTO;UNICA;598
CAPÃO BONITO;UNICA;1094
CANITAR;UNICA;149
CÂNDIDO RODRIGUES;UNICA;62
CÂNDIDO MOTA;UNICA;653
CANAS;UNICA;131
CANANÉIA;UNICA;279
CAMPOS NOVOS PAULISTA;UNICA;111
CAMPOS DO JORDÃO;UNICA;1394
CAMPO LIMPO PAULISTA;UNICA;2367
CAMPINAS;UNICA;33889
CAMPINA DO MONTE ALEGRE;UNICA;136
CAJURU;UNICA;584
CAJOBI;UNICA;273
CAJATI;UNICA;772
CAJAMAR;UNICA;2748
CAIUÁ;UNICA;82
CAIEIRAS;UNICA;2867
CAIABU;UNICA;60
CAFELÂNDIA;UNICA;424
CACONDE;UNICA;410
CACHOEIRA PAULISTA;UNICA;971
CAÇAPAVA;UNICA;2484
CABREÚVA;UNICA;1486
CABRÁLIA PAULISTA;UNICA;102
BURITIZAL;UNICA;100
BURITAMA;UNICA;447
BURI;UNICA;505
BROTAS;UNICA;621
BRODOWSKI;UNICA;660
BREJO ALEGRE;UNICA;74
BRAÚNA;UNICA;141
BRAGANÇA PAULISTA;UNICA;4788
BOTUCATU;UNICA;3
BOREBI;UNICA;51
BORBOREMA;UNICA;408
BORACÉIA;UNICA;110
BORÁ;UNICA;12
BOM SUCESSO DE ITARARÉ;UNICA;79
BOM JESUS DOS PERDÕES;UNICA;741
BOITUVA;UNICA;1859
BOFETE;UNICA;297
BOCAINA;UNICA;321
BOA ESPERANÇA DO SUL;UNICA;420
BIRITIBA MIRIM;UNICA;883
BIRIGUI;UNICA;3557
BILAC;UNICA;202
BERTIOGA;UNICA;1881
BERNARDINO DE CAMPOS;UNICA;214
BENTO DE ABREU;UNICA;73
BEBEDOURO;UNICA;1735
BAURU;UNICA;9195
BATATAIS;UNICA;1450
BASTOS;UNICA;493
BARUERI;UNICA;6817
BARRINHA;UNICA;978
BARRETOS;UNICA;3072
BARRA DO TURVO;UNICA;115
BARRA DO CHAPÉU;UNICA;137
BARRA BONITA;UNICA;983
BARIRI;UNICA;839
BARBOSA;UNICA;120
BARÃO DE ANTONINA;UNICA;47
BANANAL;UNICA;277
BÁLSAMO;UNICA;245
BALBINOS;UNICA;59
BADY BASSITT;UNICA;410
AVARÉ;UNICA;2182
AVANHANDAVA;UNICA;231
AVAÍ;UNICA;58
AURIFLAMA;UNICA;378
ATIBAIA;UNICA;3585
ASSIS;UNICA;2363
ASPÁSIA;UNICA;16
ARUJÁ;UNICA;2337
ARTUR NOGUEIRA;UNICA;1671
ARIRANHA;UNICA;262
AREIÓPOLIS;UNICA;319
AREIAS;UNICA;72
AREALVA;UNICA;195
ARCO-ÍRIS;UNICA;34
ARARAS;UNICA;3850
ARARAQUARA;UNICA;6452
ARAPEÍ;UNICA;67
ARANDU;UNICA;162
ARAMINA;UNICA;136
ARAÇOIABA DA SERRA;UNICA;834
ARAÇATUBA;UNICA;5055
ARAÇARIGUAMA;UNICA;593
APIAÍ;UNICA;549
APARECIDA D'OESTE;UNICA;82
APARECIDA;UNICA;969
ANHUMAS;UNICA;84
ANHEMBI;UNICA;149
ANGATUBA;UNICA;528
ANDRADINA;UNICA;1359
ANALÂNDIA;UNICA;133
AMPARO;UNICA;1786
AMÉRICO DE CAMPOS;UNICA;141
AMÉRICO BRASILIENSE;UNICA;1150
AMERICANA;UNICA;6473
ALVINLÂNDIA;UNICA;69
ÁLVARO DE CARVALHO;UNICA;159
ÁLVARES MACHADO;UNICA;608
ÁLVARES FLORENCE;UNICA;83
ALUMÍNIO;UNICA;512
ALTO ALEGRE;UNICA;101
ALTINÓPOLIS;UNICA;399
ALTAIR;UNICA;116
ALFREDO MARCONDES;UNICA;85
ALAMBARI;UNICA;175
AGUDOS;UNICA;877
ÁGUAS DE SÃO PEDRO;UNICA;65
ÁGUAS DE SANTA BÁRBARA;UNICA;139
ÁGUAS DE LINDÓIA;UNICA;481
ÁGUAS DA PRATA;UNICA;197
AGUAÍ;UNICA;1064
ADOLFO;UNICA;83
ADAMANTINA;UNICA;881
ZACARIAS;ADICIONAL;1804
VOTUPORANGA;ADICIONAL;59838
VOTORANTIM;ADICIONAL;63487
VITÓRIA BRASIL;ADICIONAL;1165
VISTA ALEGRE DO ALTO;ADICIONAL;4880
VIRADOURO;ADICIONAL;12764
VINHEDO;ADICIONAL;44848
VERA CRUZ;ADICIONAL;6235
VÁRZEA PAULISTA;ADICIONAL;49287
VARGEM GRANDE PAULISTA;ADICIONAL;26591
VARGEM GRANDE DO SUL;ADICIONAL;27987
VARGEM;ADICIONAL;6001
VALPARAÍSO;ADICIONAL;15891
VALINHOS;ADICIONAL;69760
VALENTIM GENTIL;ADICIONAL;8417
URUPÊS;ADICIONAL;9885
URU;ADICIONAL;1381
URÂNIA;ADICIONAL;5766
UNIÃO PAULISTA;ADICIONAL;1087
UCHOA;ADICIONAL;7377
UBIRAJARA;ADICIONAL;2401
UBATUBA;ADICIONAL;39283
UBARANA;ADICIONAL;3619
TURMALINA;ADICIONAL;1972
TURIÚBA;ADICIONAL;1566
TUPI PAULISTA;ADICIONAL;10749
TUPÃ;ADICIONAL;40342
TUIUTI;ADICIONAL;4631
TRÊS FRONTEIRAS;ADICIONAL;4362
TREMEMBÉ;ADICIONAL;31499
TRABIJU;ADICIONAL;1216
TORRINHA;ADICIONAL;6456
TORRE DE PEDRA;ADICIONAL;1886
TIMBURI;ADICIONAL;2428
TIETÊ;ADICIONAL;24775
TERRA ROXA;ADICIONAL;5581
TEODORO SAMPAIO;ADICIONAL;14150
TEJUPÁ;ADICIONAL;2122
TAUBATÉ;ADICIONAL;178527
TATUÍ;ADICIONAL;70284
TARUMÃ;ADICIONAL;8206
TARABAI;ADICIONAL;4466
TAQUARIVAÍ;ADICIONAL;4121
TAQUARITUBA;ADICIONAL;18675
TAQUARITINGA;ADICIONAL;37468
TAQUARAL;ADICIONAL;2389
TAPIRATIBA;ADICIONAL;9270
TAPIRAÍ;ADICIONAL;5092
TANABI;ADICIONAL;17467
TAMBAÚ;ADICIONAL;13036
TAIÚVA;ADICIONAL;5619
TAIAÇU;ADICIONAL;4865
TAGUAÍ;ADICIONAL;8570
TACIBA;ADICIONAL;3422
TABOÃO DA SERRA;ADICIONAL;146979
TABATINGA;ADICIONAL;9597
TABAPUÃ;ADICIONAL;8046
SUZANO;ADICIONAL;164289
SUZANÁPOLIS;ADICIONAL;2388
SUMARÉ;ADICIONAL;130870
SUD MENNUCCI;ADICIONAL;5219
SOROCABA;ADICIONAL;386983
SOCORRO;ADICIONAL;24844
SILVEIRAS;ADICIONAL;4656
SEVERÍNIA;ADICIONAL;10112
SETE BARRAS;ADICIONAL;6507
SERTÃOZINHO;ADICIONAL;79859
SERRANA;ADICIONAL;29484
SERRA NEGRA;ADICIONAL;18712
SERRA AZUL;ADICIONAL;8918
SEBASTIANÓPOLIS DO SUL;ADICIONAL;3328
SARUTAIÁ;ADICIONAL;2651
SARAPUÍ;ADICIONAL;5941
SÃO VICENTE;ADICIONAL;183082
SÃO SIMÃO;ADICIONAL;9419
SÃO SEBASTIÃO DA GRAMA;ADICIONAL;7947
SÃO SEBASTIÃO;ADICIONAL;37108
SÃO ROQUE;ADICIONAL;51090
SÃO PEDRO DO TURVO;ADICIONAL;4342
SÃO PEDRO;ADICIONAL;20977
SÃO PAULO;ADICIONAL;8091248
SÃO MIGUEL ARCANJO;ADICIONAL;20803
SÃO MANUEL;ADICIONAL;24152
SÃO LUIZ DO PARAITINGA;ADICIONAL;9212
SÃO LOURENÇO DA SERRA;ADICIONAL;8760
SÃO JOSÉ DOS CAMPOS;ADICIONAL;405182
SÃO JOSÉ DO RIO PRETO;ADICIONAL;294938
SÃO JOSÉ DO RIO PARDO;ADICIONAL;36133
SÃO JOSÉ DO BARREIRO;ADICIONAL;2503
SÃO JOSÉ DA BELA VISTA;ADICIONAL;4646
SÃO JOAQUIM DA BARRA;ADICIONAL;30343
SÃO JOÃO DO PAU D'ALHO;ADICIONAL;1545
SÃO JOÃO DE IRACEMA;ADICIONAL;1553
SÃO JOÃO DAS DUAS PONTES;ADICIONAL;1936
SÃO JOÃO DA BOA VISTA;ADICIONAL;59289
SÃO FRANCISCO;ADICIONAL;2750
SÃO CARLOS;ADICIONAL;164710
SÃO CAETANO DO SUL;ADICIONAL;123855
SÃO BERNARDO DO CAMPO;ADICIONAL;533717
SÃO BENTO DO SAPUCAÍ;ADICIONAL;7787
SANTOS;ADICIONAL;276915
SANTÓPOLIS DO AGUAPEÍ;ADICIONAL;2853
SANTO EXPEDITO;ADICIONAL;1967
SANTO ANTÔNIO DO PINHAL;ADICIONAL;4252
SANTO ANTÔNIO DO JARDIM;ADICIONAL;4169
SANTO ANTÔNIO DO ARACANGUÁ;ADICIONAL;5230
SANTO ANTÔNIO DE POSSE;ADICIONAL;12043
SANTO ANTÔNIO DA ALEGRIA;ADICIONAL;5765
SANTO ANDRÉ;ADICIONAL;467808
SANTO ANASTÁCIO;ADICIONAL;11469
SANTANA DE PARNAÍBA;ADICIONAL;97898
SANTANA DA PONTE PENSA;ADICIONAL;1485
SANTA SALETE;ADICIONAL;1469
SANTA ROSA DE VITERBO;ADICIONAL;16875
SANTA RITA DO PASSA QUATRO;ADICIONAL;18544
SANTA RITA D'OESTE;ADICIONAL;2062
SANTA MERCEDES;ADICIONAL;2070
SANTA MARIA DA SERRA;ADICIONAL;3068
